date,country_code,cost,media_source
2020-07-01,AD,0.17,Facebook Ads
2020-07-01,AE,59.3,Facebook Ads
2020-07-01,AF,1.23,Facebook Ads
2020-07-01,AG,0.23,Facebook Ads
2020-07-01,AI,0.18,Facebook Ads
2020-07-01,AL,1.6,Facebook Ads
2020-07-01,AM,02.07,Facebook Ads
2020-07-01,AO,2.63,Facebook Ads
2020-07-01,AQ,0.01,Facebook Ads
2020-07-01,AR,6.73,Facebook Ads
2020-07-01,AS,0.13,Facebook Ads
2020-07-01,AT,7.53,Facebook Ads
2020-07-01,AU,73.72,Facebook Ads
2020-07-01,AW,0.18,Facebook Ads
2020-07-01,AZ,3.34,Facebook Ads
2020-07-01,BA,0.62,Facebook Ads
2020-07-01,BB,0.6,Facebook Ads
2020-07-01,BD,0.04,Facebook Ads
2020-07-01,BE,13.26,Facebook Ads
2020-07-01,BF,0.69,Facebook Ads
2020-07-01,BG,3.89,Facebook Ads
2020-07-01,BH,3.85,Facebook Ads
2020-07-01,BI,0.14,Facebook Ads
2020-07-01,BJ,0.82,Facebook Ads
2020-07-01,BL,0.13,Facebook Ads
2020-07-01,BM,0.92,Facebook Ads
2020-07-01,BN,1.22,Facebook Ads
2020-07-01,BO,1.0,Facebook Ads
2020-07-01,BQ,0.08,Facebook Ads
2020-07-01,BR,249.99,Facebook Ads
2020-07-01,BS,1.54,Facebook Ads
2020-07-01,BT,0.25,Facebook Ads
2020-07-01,BW,02.09,Facebook Ads
2020-07-01,BY,3.77,Facebook Ads
2020-07-01,BZ,0.22,Facebook Ads
2020-07-01,CA,108.74,Facebook Ads
2020-07-01,CD,1.11,Facebook Ads
2020-07-01,CF,0.09,Facebook Ads
2020-07-01,CG,0.29,Facebook Ads
2020-07-01,CH,24.18,Facebook Ads
2020-07-01,CI,1.19,Facebook Ads
2020-07-01,CK,0.03,Facebook Ads
2020-07-01,CL,19.83,Facebook Ads
2020-07-01,CM,0.48,Facebook Ads
2020-07-01,CN,39.09,Facebook Ads
2020-07-01,CO,15.43,Facebook Ads
2020-07-01,CR,6.18,Facebook Ads
2020-07-01,CV,0.45,Facebook Ads
2020-07-01,CW,0.2,Facebook Ads
2020-07-01,CY,3.73,Facebook Ads
2020-07-01,CZ,10.6,Facebook Ads
2020-07-01,DE,50.67,Facebook Ads
2020-07-01,DJ,0.25,Facebook Ads
2020-07-01,DK,6.62,Facebook Ads
2020-07-01,DM,0.12,Facebook Ads
2020-07-01,DO,5.3,Facebook Ads
2020-07-01,DZ,1.13,Facebook Ads
2020-07-01,EC,4.25,Facebook Ads
2020-07-01,EE,1.63,Facebook Ads
2020-07-01,EG,21.33,Facebook Ads
2020-07-01,ER,0.02,Facebook Ads
2020-07-01,ES,24.76,Facebook Ads
2020-07-01,ET,0.14,Facebook Ads
2020-07-01,FI,8.69,Facebook Ads
2020-07-01,FJ,0.5,Facebook Ads
2020-07-01,FK,0.03,Facebook Ads
2020-07-01,FM,0.08,Facebook Ads
2020-07-01,FO,0.38,Facebook Ads
2020-07-01,FR,22.66,Facebook Ads
2020-07-01,GA,0.38,Facebook Ads
2020-07-01,GB,111.24,Facebook Ads
2020-07-01,GD,0.17,Facebook Ads
2020-07-01,GE,3.4,Facebook Ads
2020-07-01,GF,0.39,Facebook Ads
2020-07-01,GG,0.23,Facebook Ads
2020-07-01,GH,22.54,Facebook Ads
2020-07-01,GI,0.4,Facebook Ads
2020-07-01,GL,0.21,Facebook Ads
2020-07-01,GM,0.49,Facebook Ads
2020-07-01,GN,0.36,Facebook Ads
2020-07-01,GP,0.59,Facebook Ads
2020-07-01,GQ,0.05,Facebook Ads
2020-07-01,GR,9.3,Facebook Ads
2020-07-01,GT,1.77,Facebook Ads
2020-07-01,GU,1.36,Facebook Ads
2020-07-01,GW,0.12,Facebook Ads
2020-07-01,GY,0.8,Facebook Ads
2020-07-01,HK,93.2,Facebook Ads
2020-07-01,HN,1.95,Facebook Ads
2020-07-01,HR,4.8,Facebook Ads
2020-07-01,HT,0.89,Facebook Ads
2020-07-01,HU,9.22,Facebook Ads
2020-07-01,ID,13.03,Facebook Ads
2020-07-01,IE,14.76,Facebook Ads
2020-07-01,IL,10.6,Facebook Ads
2020-07-01,IM,0.13,Facebook Ads
2020-07-01,IN,38.32,Facebook Ads
